id,sentence,emotion,layer,confidence
150,You could sense the expressed hope in their voice.,hope,2,0.92
151,A sudden feeling of furious filled their heart.,anger,1,0.95
152,It was a moment marked by sad.,sadness,1,0.85
153,It reflected a genuine feeling of isolation.,loneliness,2,0.92
154,The situation brought out deep frightened.,fear,1,0.92
155,It reflected a genuine feeling of peace of mind.,inner_peace,3,0.93
156,A sudden feeling of compassionate filled their heart.,compassion,3,0.95
157,You could sense the heartbroken in their voice.,sadness,1,0.92
158,The situation brought out deep letting go.,sadness,1,0.92
159,It reflected a genuine feeling of human connection.,empathy,2,0.92
160,They struggled with grateful but tried to stay composed.,sadness,1,0.83
161,It was a moment marked by felt sympathy.,empathy,2,0.95
162,They experienced expressed joy in a quiet moment.,joy,1,0.95
163,There was a clear sense of sign of hope throughout the day.,hope,2,0.93
164,It was a moment marked by compassionate.,compassion,3,0.93
165,It was a moment marked by happy.,joy,1,0.95
166,They experienced social isolation in a quiet moment.,loneliness,2,0.83
167,There was a clear sense of frightened throughout the day.,fear,1,0.93
168,The situation brought out deep wonder.,awe,3,0.92
169,That experience left them with lasting letting go.,sadness,1,0.83
170,Everyone noticed the expressed gratitude in that moment.,gratitude,3,0.95
171,It reflected a genuine feeling of expressed regret.,regret,2,0.95
172,That experience left them with lasting awe.,awe,3,0.95
173,They struggled with letting go but tried to stay composed.,sadness,1,0.81
174,The situation brought out deep compassionate.,compassion,3,0.93
175,A sudden feeling of panic filled their heart.,fear,1,0.92
176,It was a moment marked by grateful.,gratitude,3,0.95
177,They experienced hopeful in a quiet moment.,hope,2,0.92
178,That experience left them with lasting sympathy.,empathy,2,0.93
179,That experience left them with lasting joy.,joy,1,0.95
180,It was a moment marked by heartbroken.,sadness,1,0.95
181,They struggled with mercy but tried to stay composed.,empathy,2,0.83
182,That experience left them with lasting grateful.,gratitude,3,0.92
183,The situation brought out deep mourning.,sadness,1,0.93
184,You could sense the calmness in their voice.,inner_peace,3,0.92
185,They experienced awe in a quiet moment.,awe,3,0.93
186,The situation brought out deep terrified.,fear,1,0.92
187,That experience left them with lasting human connection.,empathy,2,0.83
188,A sudden feeling of deeply moved filled their heart.,awe,3,0.93
189,That experience left them with lasting empathy.,empathy,2,0.95
190,Everyone noticed the frightened in that moment.,fear,1,0.93
191,A sudden feeling of social isolation filled their heart.,loneliness,2,0.92
192,You could sense the expressed gratitude in their voice.,gratitude,3,0.92
193,That experience left them with lasting hopeful.,hope,2,0.98
194,It reflected a genuine feeling of inner peace.,inner_peace,3,0.95
195,A sudden feeling of awe filled their heart.,awe,3,0.92
196,A sudden feeling of outrage filled their heart.,anger,1,0.92
197,There was a clear sense of felt sympathy throughout the day.,empathy,2,0.93
198,They struggled with public anger but tried to stay composed.,anger,1,0.83
199,The situation brought out deep happy.,joy,1,0.95
200,The situation brought out deep connectedness.,empathy,2,0.83
201,It reflected a genuine feeling of social isolation.,loneliness,2,0.92
202,It reflected a genuine feeling of deeply moved.,awe,3,0.92
203,There was a clear sense of understanding others throughout the day.,empathy,2,0.83
204,They struggled with frightened but tried to stay composed.,fear,1,0.92
205,You could sense the lonely in their voice.,loneliness,2,0.92
206,That experience left them with lasting terrified.,fear,1,0.93
207,It was a moment marked by human connection.,empathy,2,0.92
208,That experience left them with lasting sympathy.,empathy,2,0.95
209,You could sense the sign of hope in their voice.,hope,2,0.92
210,That experience left them with lasting letting go.,sadness,1,0.87
211,They struggled with delight but tried to stay composed.,joy,1,0.73
212,They experienced heartbroken in a quiet moment.,sadness,1,0.83
213,They struggled with sympathy but tried to stay composed.,empathy,2,0.83
214,They experienced expressed sadness in a quiet moment.,sadness,1,0.95
215,They struggled with calmness but tried to stay composed.,anger,1,0.83
216,They struggled with remorse but tried to stay composed.,regret,2,0.92
217,It reflected a genuine feeling of wonder.,awe,3,0.92
218,There was a clear sense of expressed anger throughout the day.,anger,1,0.93
219,The situation brought out deep fear.,fear,1,0.95
220,They experienced mercy in a quiet moment.,empathy,2,0.83
221,It was a moment marked by felt sympathy.,empathy,2,0.92
222,It was a moment marked by loneliness.,loneliness,2,0.95
223,You could sense the wonder in their voice.,awe,3,0.92
224,It reflected a genuine feeling of expressed anger.,anger,1,0.95
225,You could sense the happiness in their voice.,joy,1,0.92
226,There was a clear sense of expressed gratitude throughout the day.,gratitude,3,0.93
227,A sudden feeling of empathy filled their heart.,empathy,2,0.98
228,It was a moment marked by felt regret.,regret,2,0.95
229,Everyone noticed the expressed sadness in that moment.,sadness,1,0.95
230,It was a moment marked by hope.,hope,2,0.93
231,They struggled with celebration but tried to stay composed.,sadness,1,0.72
232,A sudden feeling of sense of awe filled their heart.,awe,3,0.95
233,Everyone noticed the outrage in that moment.,anger,1,0.92
234,That experience left them with lasting wonder.,awe,3,0.92
235,A sudden feeling of celebration filled their heart.,joy,1,0.95
236,Everyone noticed the felt regret in that moment.,regret,2,0.93
237,They experienced mercy in a quiet moment.,compassion,3,0.87
238,The situation brought out deep expressed sadness.,sadness,1,0.95
239,They experienced understanding others in a quiet moment.,empathy,2,0.92
240,Everyone noticed the compassion in that moment.,compassion,3,0.93
241,A sudden feeling of understanding others filled their heart.,empathy,2,0.92
242,Everyone noticed the angry in that moment.,anger,1,0.92
243,It reflected a genuine feeling of joy.,joy,1,0.95
244,They experienced hopeful in a quiet moment.,hope,2,0.93
245,There was a clear sense of heartbroken throughout the day.,sadness,1,0.92
246,That experience left them with lasting inner peace.,inner_peace,3,0.95
247,That experience left them with lasting hope.,hope,2,0.95
248,It was a moment marked by expressed anger.,anger,1,0.95
249,You could sense the delight in their voice.,joy,1,0.92
250,It was a moment marked by lonely.,loneliness,2,0.92
251,You could sense the calmness in their voice.,inner_peace,3,0.83
252,It reflected a genuine feeling of joy.,joy,1,0.95
253,Everyone noticed the panic in that moment.,fear,1,0.83
254,They struggled with outrage but tried to stay composed.,anger,1,0.92
255,It reflected a genuine feeling of mourning.,sadness,1,0.93
256,That experience left them with lasting hope.,hope,2,0.95
257,It was a moment marked by grief.,sadness,1,0.92
258,The situation brought out deep celebration.,joy,1,0.95
259,That experience left them with lasting isolation.,loneliness,2,0.83
260,They struggled with regret but tried to stay composed.,regret,2,0.85
261,The situation brought out deep angry.,anger,1,0.92
262,It was a moment marked by awe.,awe,3,0.93
263,You could sense the outrage in their voice.,anger,1,0.92
264,The situation brought out deep compassion.,compassion,3,0.92
265,They struggled with lonely but tried to stay composed.,loneliness,2,0.83
266,A sudden feeling of outrage filled their heart.,anger,1,0.92
267,It reflected a genuine feeling of hope.,hope,2,0.95
268,The situation brought out deep panic.,fear,1,0.92
269,There was a clear sense of loneliness throughout the day.,loneliness,2,0.93
270,They experienced panic in a quiet moment.,fear,1,0.83
271,Everyone noticed the empathy in that moment.,empathy,2,0.83
272,They experienced awe in a quiet moment.,awe,3,0.92
273,They struggled with angry but tried to stay composed.,anger,1,0.83
274,Everyone noticed the fear in that moment.,fear,1,0.95
275,There was a clear sense of terrified throughout the day.,fear,1,0.92
276,They experienced angry in a quiet moment.,anger,1,0.93
277,They experienced public anger in a quiet moment.,anger,1,0.92
278,It reflected a genuine feeling of lonely.,loneliness,2,0.95
279,They struggled with thankful but tried to stay composed.,sadness,1,0.83
280,You could sense the expressed hope in their voice.,hope,2,0.93
281,A sudden feeling of fear filled their heart.,fear,1,0.92
282,There was a clear sense of panic throughout the day.,fear,1,0.83
283,You could sense the sadness in their voice.,sadness,1,0.95
284,The situation brought out deep thankful.,gratitude,3,0.92
285,They experienced expressed fear in a quiet moment.,fear,1,0.9
286,Everyone noticed the understanding others in that moment.,empathy,2,0.93
287,They experienced sign of hope in a quiet moment.,hope,2,0.92
288,A sudden feeling of public anger filled their heart.,anger,1,0.95
289,There was a clear sense of regret throughout the day.,regret,2,0.95
290,You could sense the anger in their voice.,anger,1,0.93
291,Everyone noticed the loneliness in that moment.,loneliness,2,0.93
293,Everyone noticed the frightened in that moment.,fear,1,0.92
294,It was a moment marked by expressed sadness.,sadness,1,0.98
295,It was a moment marked by furious.,anger,1,0.93
296,You could sense the happiness in their voice.,joy,1,0.92
297,They struggled with social isolation but tried to stay composed.,loneliness,2,0.83
298,It was a moment marked by sadness.,sadness,1,0.95
299,A sudden feeling of sad filled their heart.,sadness,1,0.95
300,It reflected a genuine feeling of sign of hope.,hope,2,0.92
301,It was a moment marked by felt sympathy.,empathy,2,0.95
302,A sudden feeling of expressed regret filled their heart.,regret,2,0.95
303,They struggled with awe but tried to stay composed.,awe,3,0.83
304,It was a moment marked by inner peace.,inner_peace,3,0.95
305,Everyone noticed the terrified in that moment.,fear,1,0.93
306,Everyone noticed the grateful in that moment.,gratitude,3,0.92
307,It reflected a genuine feeling of grief.,sadness,1,0.92
308,It was a moment marked by expressed joy.,joy,1,0.95
309,That experience left them with lasting inner peace.,inner_peace,3,0.93
310,You could sense the lonely in their voice.,loneliness,2,0.92
311,They struggled with expressed anger but tried to stay composed.,anger,1,0.83
312,There was a clear sense of expressed sadness throughout the day.,sadness,1,0.95
313,They experienced felt regret in a quiet moment.,regret,2,0.92
314,They struggled with compassionate but tried to stay composed.,empathy,2,0.83
315,It was a moment marked by calmness.,inner_peace,3,0.92
316,It was a moment marked by inner peace.,inner_peace,3,0.92
317,That experience left them with lasting grateful.,gratitude,3,0.92
318,A sudden feeling of human connection filled their heart.,empathy,2,0.92
319,There was a clear sense of sympathy throughout the day.,empathy,2,0.92
320,You could sense the hopeful in their voice.,hope,2,0.92
321,It was a moment marked by social isolation.,loneliness,2,0.92
322,It reflected a genuine feeling of deeply moved.,awe,3,0.83
323,Everyone noticed the calmness in that moment.,inner_peace,3,0.92
324,Everyone noticed the delight in that moment.,joy,1,0.92
325,They experienced sympathy in a quiet moment.,empathy,2,0.93
326,They experienced furious in a quiet moment.,anger,1,0.92
327,They experienced expressed joy in a quiet moment.,joy,1,0.92
328,You could sense the happiness in their voice.,joy,1,0.92
329,Everyone noticed the compassion in that moment.,empathy,2,0.92
330,They struggled with understanding others but tried to stay composed.,anger,1,0.72
331,They experienced expressed gratitude in a quiet moment.,gratitude,3,0.95
332,Everyone noticed the mercy in that moment.,empathy,2,0.92
333,It reflected a genuine feeling of remorse.,regret,2,0.92
334,There was a clear sense of heartbroken throughout the day.,sadness,1,0.92
335,That experience left them with lasting grateful.,gratitude,3,0.92
336,It reflected a genuine feeling of expressed regret.,regret,2,0.95
337,They struggled with regret but tried to stay composed.,regret,2,0.85
338,That experience left them with lasting joy.,joy,1,0.95
339,They struggled with lonely but tried to stay composed.,loneliness,2,0.8
340,The situation brought out deep lonely.,loneliness,2,0.92
341,It reflected a genuine feeling of remorse.,regret,2,0.92
342,The situation brought out deep understanding others.,empathy,2,0.83
343,It was a moment marked by mercy.,compassion,3,0.92
344,They experienced terrified in a quiet moment.,fear,1,0.95
345,That experience left them with lasting joy.,joy,1,0.95
346,There was a clear sense of felt sympathy throughout the day.,empathy,2,0.95
347,The situation brought out deep mourning.,sadness,1,0.95
348,It reflected a genuine feeling of expressed gratitude.,gratitude,3,0.95
349,The situation brought out deep thankful.,gratitude,3,0.93
350,It reflected a genuine feeling of panic.,fear,1,0.93
351,The situation brought out deep regret.,regret,2,0.92
352,They struggled with compassion but tried to stay composed.,empathy,2,0.85
353,A sudden feeling of expressed regret filled their heart.,regret,2,0.92
354,They experienced felt regret in a quiet moment.,regret,2,0.98
355,It was a moment marked by expressed anger.,anger,1,0.95
356,That experience left them with lasting isolation.,loneliness,2,0.92
357,It reflected a genuine feeling of expressed joy.,joy,1,0.98
358,Everyone noticed the outrage in that moment.,anger,1,0.92
359,They struggled with compassion but tried to stay composed.,compassion,3,0.83
360,There was a clear sense of connectedness throughout the day.,empathy,2,0.83
362,They struggled with fear but tried to stay composed.,fear,1,0.83
363,They experienced frightened in a quiet moment.,fear,1,0.92
364,They experienced felt regret in a quiet moment.,regret,2,0.92
365,It reflected a genuine feeling of awe.,awe,3,0.95
366,They experienced empathy in a quiet moment.,empathy,2,0.92
367,They struggled with sense of awe but tried to stay composed.,awe,3,0.83
368,That experience left them with lasting wonder.,awe,3,0.92
369,They experienced expressed anger in a quiet moment.,anger,1,0.92
370,That experience left them with lasting sense of awe.,awe,3,0.97
371,It was a moment marked by celebration.,joy,1,0.92
372,There was a clear sense of felt sympathy throughout the day.,empathy,2,0.93
373,It reflected a genuine feeling of expressed sadness.,sadness,1,0.95
374,Everyone noticed the public anger in that moment.,anger,1,0.95
375,Everyone noticed the empathy in that moment.,empathy,2,0.95
376,It was a moment marked by expressed gratitude.,gratitude,3,0.92
377,There was a clear sense of sympathy throughout the day.,empathy,2,0.92
378,It reflected a genuine feeling of afraid.,fear,1,0.95
379,A sudden feeling of joy filled their heart.,joy,1,0.95
380,There was a clear sense of hopeful throughout the day.,hope,2,0.92
381,A sudden feeling of fear filled their heart.,fear,1,0.93
382,A sudden feeling of calmness filled their heart.,inner_peace,3,0.92
383,They experienced remorse in a quiet moment.,regret,2,0.92
384,There was a clear sense of deeply moved throughout the day.,awe,3,0.85
385,They struggled with calmness but tried to stay composed.,anger,1,0.73
386,They struggled with deeply moved but tried to stay composed.,sadness,1,0.83
387,They experienced sense of awe in a quiet moment.,awe,3,0.95
388,It was a moment marked by understanding others.,empathy,2,0.92
389,A sudden feeling of hope filled their heart.,hope,2,0.95
390,It was a moment marked by mercy.,compassion,3,0.92
391,You could sense the expressed hope in their voice.,hope,2,0.92
392,They experienced happy in a quiet moment.,joy,1,0.92
393,They struggled with sign of hope but tried to stay composed.,hope,2,0.73
394,A sudden feeling of awe filled their heart.,awe,3,0.95
395,A sudden feeling of sign of hope filled their heart.,hope,2,0.92
396,They struggled with acceptance but tried to stay composed.,sadness,1,0.83
397,You could sense the joy in their voice.,joy,1,0.92
398,They experienced anger in a quiet moment.,anger,1,0.92
399,They struggled with panic but tried to stay composed.,fear,1,0.83
400,A sudden feeling of angry filled their heart.,anger,1,0.92
401,It was a moment marked by heartbroken.,sadness,1,0.95
402,The situation brought out deep expressed gratitude.,gratitude,3,0.95
403,They struggled with sense of awe but tried to stay composed.,awe,3,0.83
404,Everyone noticed the remorse in that moment.,sadness,1,0.83
405,It was a moment marked by fear.,fear,1,0.95
406,They struggled with human connection but tried to stay composed.,sadness,1,0.82
407,It was a moment marked by grief.,sadness,1,0.9
408,They struggled with mercy but tried to stay composed.,anger,1,0.72
409,It was a moment marked by angry.,anger,1,0.95
410,You could sense the panic in their voice.,fear,1,0.92
411,A sudden feeling of grief filled their heart.,sadness,1,0.95
412,They struggled with grateful but tried to stay composed.,sadness,1,0.83
413,Everyone noticed the social isolation in that moment.,loneliness,2,0.83
414,The situation brought out deep peace of mind.,inner_peace,3,0.93
415,There was a clear sense of expressed hope throughout the day.,hope,2,0.92
416,It reflected a genuine feeling of awe.,awe,3,0.98
417,Everyone noticed the expressed sadness in that moment.,sadness,1,0.95
418,They experienced sense of awe in a quiet moment.,awe,3,0.93
419,The situation brought out deep loneliness.,loneliness,2,0.92
420,They experienced peace of mind in a quiet moment.,inner_peace,3,0.92
421,A sudden feeling of wonder filled their heart.,awe,3,0.92
422,It reflected a genuine feeling of grateful.,gratitude,3,0.93
423,The situation brought out deep mourning.,sadness,1,0.93
424,It was a moment marked by sympathy.,empathy,2,0.92
425,There was a clear sense of expressed sadness throughout the day.,sadness,1,0.95
426,That experience left them with lasting gratitude.,gratitude,3,0.92
427,They experienced connectedness in a quiet moment.,inner_peace,3,0.85
428,You could sense the letting go in their voice.,sadness,1,0.73
429,There was a clear sense of furious throughout the day.,anger,1,0.92
430,The situation brought out deep happy.,joy,1,0.95
431,It was a moment marked by compassion.,compassion,3,0.93
432,There was a clear sense of sense of awe throughout the day.,awe,3,0.93
433,You could sense the sign of hope in their voice.,hope,2,0.92
434,There was a clear sense of mercy throughout the day.,empathy,2,0.83
435,It was a moment marked by delight.,joy,1,0.92
436,They experienced celebration in a quiet moment.,joy,1,0.95
437,Everyone noticed the calmness in that moment.,inner_peace,3,0.92
438,It was a moment marked by acceptance.,inner_peace,3,0.92
439,That experience left them with lasting human connection.,empathy,2,0.92
440,It reflected a genuine feeling of inner peace.,inner_peace,3,0.92
441,There was a clear sense of social isolation throughout the day.,loneliness,2,0.83
442,That experience left them with lasting deeply moved.,joy,1,0.83
443,You could sense the social isolation in their voice.,loneliness,2,0.83
444,A sudden feeling of terrified filled their heart.,fear,1,0.95
445,That experience left them with lasting inner peace.,inner_peace,3,0.92
446,You could sense the expressed sadness in their voice.,sadness,1,0.98
447,You could sense the frightened in their voice.,fear,1,0.92
448,You could sense the loneliness in their voice.,loneliness,2,0.92
449,Everyone noticed the sad in that moment.,sadness,1,0.92
450,That experience left them with lasting sympathy.,empathy,2,0.92
451,You could sense the hope in their voice.,hope,2,0.92
452,It reflected a genuine feeling of celebration.,joy,1,0.92
453,A sudden feeling of joy filled their heart.,joy,1,0.95
454,They struggled with awe but tried to stay composed.,awe,3,0.83
455,They experienced human connection in a quiet moment.,empathy,2,0.72
456,The situation brought out deep social isolation.,loneliness,2,0.92
457,That experience left them with lasting expressed fear.,fear,1,0.95
458,You could sense the felt sympathy in their voice.,empathy,2,0.92
459,That experience left them with lasting remorse.,regret,2,0.95
460,It reflected a genuine feeling of afraid.,fear,1,0.95
461,It was a moment marked by celebration.,joy,1,0.93
462,It was a moment marked by gratitude.,gratitude,3,0.95
463,A sudden feeling of deeply moved filled their heart.,awe,3,0.92
464,You could sense the celebration in their voice.,joy,1,0.92
465,That experience left them with lasting connectedness.,gratitude,3,0.92
466,It reflected a genuine feeling of connectedness.,empathy,2,0.93
467,They experienced awe in a quiet moment.,awe,3,0.92
468,You could sense the felt regret in their voice.,regret,2,0.92
469,They struggled with anger but tried to stay composed.,anger,1,0.78
470,That experience left them with lasting understanding others.,empathy,2,0.83
471,The situation brought out deep expressed fear.,fear,1,0.95
472,They experienced hopeful in a quiet moment.,hope,2,0.92
473,The situation brought out deep compassionate.,compassion,3,0.93
474,There was a clear sense of deeply moved throughout the day.,joy,1,0.83
475,It was a moment marked by sign of hope.,hope,2,0.92
476,Everyone noticed the sympathy in that moment.,empathy,2,0.92
477,The situation brought out deep panic.,fear,1,0.92
478,The situation brought out deep sadness.,sadness,1,0.95
479,They experienced thankful in a quiet moment.,gratitude,3,0.95
480,Everyone noticed the mourning in that moment.,sadness,1,0.93
481,It reflected a genuine feeling of happy.,joy,1,0.95
482,There was a clear sense of hopeful throughout the day.,hope,2,0.93
483,It reflected a genuine feeling of expressed hope.,hope,2,0.95
484,A sudden feeling of sympathy filled their heart.,empathy,2,0.92
485,You could sense the lonely in their voice.,loneliness,2,0.93
486,The situation brought out deep lonely.,loneliness,2,0.95
487,It was a moment marked by compassion.,compassion,3,0.93
488,That experience left them with lasting empathy.,empathy,2,0.92
489,They experienced peace of mind in a quiet moment.,inner_peace,3,0.93
490,They struggled with loneliness but tried to stay composed.,loneliness,2,0.87
491,They struggled with expressed hope but tried to stay composed.,hope,2,0.83
492,Everyone noticed the connectedness in that moment.,empathy,2,0.92
493,Everyone noticed the lonely in that moment.,loneliness,2,0.92
494,There was a clear sense of mourning throughout the day.,sadness,1,0.93
495,You could sense the wonder in their voice.,awe,3,0.92
496,A sudden feeling of heartbroken filled their heart.,sadness,1,0.92
497,Everyone noticed the sign of hope in that moment.,hope,2,0.92
498,That experience left them with lasting furious.,anger,1,0.92
499,They experienced frightened in a quiet moment.,fear,1,0.95
