id,sentence,emotion,layer,confidence_llama,confidence_mistral,avg_confidence
64,It reflected a genuine feeling of isolation.,loneliness,2,0.92,0.95,0.935
66,The situation brought out deep gratitude.,gratitude,3,0.93,0.95,0.94
67,A sudden feeling of felt sympathy filled their heart.,empathy,2,0.95,0.95,0.95
69,You could sense the happiness in their voice.,joy,1,0.92,0.95,0.935
71,It reflected a genuine feeling of public anger.,anger,1,0.92,0.95,0.935
72,You could sense the isolation in their voice.,loneliness,2,0.92,0.95,0.935
74,You could sense the fear in their voice.,fear,1,0.95,0.95,0.95
75,They experienced compassion in a quiet moment.,compassion,3,0.95,0.95,0.95
77,They experienced mourning in a quiet moment.,sadness,1,0.92,0.95,0.935
78,It was a moment marked by angry.,anger,1,0.95,0.95,0.95
80,They experienced sign of hope in a quiet moment.,hope,2,0.92,0.95,0.935
81,The situation brought out deep loneliness.,loneliness,2,0.95,0.95,0.95
82,They experienced empathy in a quiet moment.,empathy,2,0.95,0.95,0.95
83,A sudden feeling of fear filled their heart.,fear,1,0.98,0.95,0.965
86,That experience left them with lasting deeply moved.,sadness,1,0.92,0.85,0.885
87,It was a moment marked by expressed gratitude.,gratitude,3,0.95,0.95,0.95
88,It was a moment marked by social isolation.,loneliness,2,0.92,0.95,0.935
89,That experience left them with lasting loneliness.,loneliness,2,0.95,0.95,0.95
91,It reflected a genuine feeling of public anger.,anger,1,0.92,0.95,0.935
95,A sudden feeling of felt regret filled their heart.,regret,2,0.92,0.95,0.935
96,Everyone noticed the letting go in that moment.,sadness,1,0.83,0.85,0.84
97,The situation brought out deep felt regret.,regret,2,0.92,0.95,0.935
98,The situation brought out deep expressed anger.,anger,1,0.93,0.95,0.94
99,The situation brought out deep mourning.,sadness,1,0.92,0.95,0.935
101,Everyone noticed the afraid in that moment.,fear,1,0.92,0.95,0.935
105,It was a moment marked by anger.,anger,1,0.98,0.95,0.965
106,You could sense the calmness in their voice.,inner_peace,3,0.83,0.95,0.8899999999999999
107,The situation brought out deep awe.,awe,3,0.95,0.95,0.95
109,That experience left them with lasting loneliness.,loneliness,2,0.95,0.95,0.95
112,There was a clear sense of felt regret throughout the day.,regret,2,0.93,0.95,0.94
113,You could sense the loneliness in their voice.,loneliness,2,0.93,0.95,0.94
114,Everyone noticed the anger in that moment.,anger,1,0.93,0.95,0.94
115,Everyone noticed the felt regret in that moment.,regret,2,0.92,0.95,0.935
116,It reflected a genuine feeling of outrage.,anger,1,0.92,0.95,0.935
117,Everyone noticed the calmness in that moment.,inner_peace,3,0.85,0.95,0.8999999999999999
118,Everyone noticed the expressed joy in that moment.,joy,1,0.95,0.95,0.95
120,Everyone noticed the sense of awe in that moment.,awe,3,0.93,1.0,0.9650000000000001
121,It was a moment marked by expressed regret.,regret,2,0.95,0.95,0.95
124,That experience left them with lasting joy.,joy,1,0.95,0.95,0.95
126,You could sense the expressed fear in their voice.,fear,1,0.92,0.95,0.935
127,A sudden feeling of celebration filled their heart.,joy,1,0.92,0.95,0.935
128,You could sense the delight in their voice.,joy,1,0.92,0.95,0.935
129,It reflected a genuine feeling of hope.,hope,2,0.95,0.95,0.95
132,There was a clear sense of gratitude throughout the day.,gratitude,3,0.92,0.95,0.935
133,That experience left them with lasting hope.,hope,2,0.95,0.95,0.95
134,They experienced isolation in a quiet moment.,loneliness,2,0.83,0.95,0.8899999999999999
135,A sudden feeling of loneliness filled their heart.,loneliness,2,0.93,0.95,0.94
136,You could sense the empathy in their voice.,empathy,2,0.92,0.95,0.935
143,That experience left them with lasting anger.,anger,1,0.95,0.95,0.95
144,Everyone noticed the expressed regret in that moment.,regret,2,0.95,0.95,0.95
145,It was a moment marked by sadness.,sadness,1,0.95,0.95,0.95
146,The situation brought out deep celebration.,joy,1,0.92,0.95,0.935
148,It was a moment marked by peace of mind.,inner_peace,3,0.93,0.95,0.94
149,A sudden feeling of sadness filled their heart.,sadness,1,0.98,0.95,0.965
151,A sudden feeling of furious filled their heart.,anger,1,0.95,0.95,0.95
152,It was a moment marked by sad.,sadness,1,0.85,0.95,0.8999999999999999
153,It reflected a genuine feeling of isolation.,loneliness,2,0.92,0.95,0.935
154,The situation brought out deep frightened.,fear,1,0.92,0.95,0.935
155,It reflected a genuine feeling of peace of mind.,inner_peace,3,0.93,0.95,0.94
156,A sudden feeling of compassionate filled their heart.,compassion,3,0.95,0.95,0.95
157,You could sense the heartbroken in their voice.,sadness,1,0.92,0.95,0.935
161,It was a moment marked by felt sympathy.,empathy,2,0.95,0.95,0.95
163,There was a clear sense of sign of hope throughout the day.,hope,2,0.93,0.95,0.94
164,It was a moment marked by compassionate.,compassion,3,0.93,1.0,0.9650000000000001
165,It was a moment marked by happy.,joy,1,0.95,0.95,0.95
166,They experienced social isolation in a quiet moment.,loneliness,2,0.83,0.95,0.8899999999999999
167,There was a clear sense of frightened throughout the day.,fear,1,0.93,0.95,0.94
168,The situation brought out deep wonder.,awe,3,0.92,0.95,0.935
170,Everyone noticed the expressed gratitude in that moment.,gratitude,3,0.95,0.95,0.95
171,It reflected a genuine feeling of expressed regret.,regret,2,0.95,0.95,0.95
172,That experience left them with lasting awe.,awe,3,0.95,0.95,0.95
175,A sudden feeling of panic filled their heart.,fear,1,0.92,0.95,0.935
176,It was a moment marked by grateful.,gratitude,3,0.95,0.95,0.95
177,They experienced hopeful in a quiet moment.,hope,2,0.92,0.95,0.935
179,That experience left them with lasting joy.,joy,1,0.95,0.95,0.95
180,It was a moment marked by heartbroken.,sadness,1,0.95,0.95,0.95
183,The situation brought out deep mourning.,sadness,1,0.93,0.95,0.94
184,You could sense the calmness in their voice.,inner_peace,3,0.92,0.95,0.935
185,They experienced awe in a quiet moment.,awe,3,0.93,0.95,0.94
186,The situation brought out deep terrified.,fear,1,0.92,0.95,0.935
188,A sudden feeling of deeply moved filled their heart.,awe,3,0.93,0.95,0.94
189,That experience left them with lasting empathy.,empathy,2,0.95,0.95,0.95
190,Everyone noticed the frightened in that moment.,fear,1,0.93,0.95,0.94
191,A sudden feeling of social isolation filled their heart.,loneliness,2,0.92,0.95,0.935
192,You could sense the expressed gratitude in their voice.,gratitude,3,0.92,0.95,0.935
193,That experience left them with lasting hopeful.,hope,2,0.98,0.95,0.965
194,It reflected a genuine feeling of inner peace.,inner_peace,3,0.95,0.95,0.95
195,A sudden feeling of awe filled their heart.,awe,3,0.92,0.95,0.935
196,A sudden feeling of outrage filled their heart.,anger,1,0.92,0.95,0.935
197,There was a clear sense of felt sympathy throughout the day.,empathy,2,0.93,0.95,0.94
199,The situation brought out deep happy.,joy,1,0.95,0.95,0.95
201,It reflected a genuine feeling of social isolation.,loneliness,2,0.92,0.95,0.935
206,That experience left them with lasting terrified.,fear,1,0.93,0.95,0.94
210,That experience left them with lasting letting go.,sadness,1,0.87,0.95,0.9099999999999999
212,They experienced heartbroken in a quiet moment.,sadness,1,0.83,0.95,0.8899999999999999
214,They experienced expressed sadness in a quiet moment.,sadness,1,0.95,0.95,0.95
217,It reflected a genuine feeling of wonder.,awe,3,0.92,0.95,0.935
218,There was a clear sense of expressed anger throughout the day.,anger,1,0.93,0.95,0.94
219,The situation brought out deep fear.,fear,1,0.95,0.95,0.95
221,It was a moment marked by felt sympathy.,empathy,2,0.92,0.95,0.935
222,It was a moment marked by loneliness.,loneliness,2,0.95,0.95,0.95
223,You could sense the wonder in their voice.,awe,3,0.92,0.95,0.935
224,It reflected a genuine feeling of expressed anger.,anger,1,0.95,0.95,0.95
225,You could sense the happiness in their voice.,joy,1,0.92,0.95,0.935
226,There was a clear sense of expressed gratitude throughout the day.,gratitude,3,0.93,0.95,0.94
228,It was a moment marked by felt regret.,regret,2,0.95,0.95,0.95
229,Everyone noticed the expressed sadness in that moment.,sadness,1,0.95,0.95,0.95
230,It was a moment marked by hope.,hope,2,0.93,0.95,0.94
232,A sudden feeling of sense of awe filled their heart.,awe,3,0.95,0.95,0.95
233,Everyone noticed the outrage in that moment.,anger,1,0.92,0.95,0.935
234,That experience left them with lasting wonder.,awe,3,0.92,0.95,0.935
235,A sudden feeling of celebration filled their heart.,joy,1,0.95,0.95,0.95
236,Everyone noticed the felt regret in that moment.,regret,2,0.93,0.95,0.94
238,The situation brought out deep expressed sadness.,sadness,1,0.95,0.95,0.95
242,Everyone noticed the angry in that moment.,anger,1,0.92,0.95,0.935
243,It reflected a genuine feeling of joy.,joy,1,0.95,0.95,0.95
244,They experienced hopeful in a quiet moment.,hope,2,0.93,0.95,0.94
245,There was a clear sense of heartbroken throughout the day.,sadness,1,0.92,0.95,0.935
246,That experience left them with lasting inner peace.,inner_peace,3,0.95,0.95,0.95
247,That experience left them with lasting hope.,hope,2,0.95,0.95,0.95
248,It was a moment marked by expressed anger.,anger,1,0.95,0.95,0.95
252,It reflected a genuine feeling of joy.,joy,1,0.95,0.95,0.95
253,Everyone noticed the panic in that moment.,fear,1,0.83,0.95,0.8899999999999999
255,It reflected a genuine feeling of mourning.,sadness,1,0.93,0.95,0.94
256,That experience left them with lasting hope.,hope,2,0.95,0.95,0.95
257,It was a moment marked by grief.,sadness,1,0.92,0.95,0.935
258,The situation brought out deep celebration.,joy,1,0.95,0.95,0.95
259,That experience left them with lasting isolation.,loneliness,2,0.83,0.95,0.8899999999999999
261,The situation brought out deep angry.,anger,1,0.92,0.95,0.935
262,It was a moment marked by awe.,awe,3,0.93,1.0,0.9650000000000001
263,You could sense the outrage in their voice.,anger,1,0.92,0.95,0.935
264,The situation brought out deep compassion.,compassion,3,0.92,0.95,0.935
266,A sudden feeling of outrage filled their heart.,anger,1,0.92,0.95,0.935
267,It reflected a genuine feeling of hope.,hope,2,0.95,0.95,0.95
268,The situation brought out deep panic.,fear,1,0.92,0.95,0.935
269,There was a clear sense of loneliness throughout the day.,loneliness,2,0.93,0.95,0.94
270,They experienced panic in a quiet moment.,fear,1,0.83,0.95,0.8899999999999999
272,They experienced awe in a quiet moment.,awe,3,0.92,0.95,0.935
274,Everyone noticed the fear in that moment.,fear,1,0.95,0.95,0.95
275,There was a clear sense of terrified throughout the day.,fear,1,0.92,0.95,0.935
276,They experienced angry in a quiet moment.,anger,1,0.93,0.95,0.94
277,They experienced public anger in a quiet moment.,anger,1,0.92,0.95,0.935
278,It reflected a genuine feeling of lonely.,loneliness,2,0.95,0.95,0.95
282,There was a clear sense of panic throughout the day.,fear,1,0.83,0.95,0.8899999999999999
283,You could sense the sadness in their voice.,sadness,1,0.95,0.95,0.95
285,They experienced expressed fear in a quiet moment.,fear,1,0.9,0.95,0.925
287,They experienced sign of hope in a quiet moment.,hope,2,0.92,0.95,0.935
288,A sudden feeling of public anger filled their heart.,anger,1,0.95,0.95,0.95
289,There was a clear sense of regret throughout the day.,regret,2,0.95,0.95,0.95
290,You could sense the anger in their voice.,anger,1,0.93,0.85,0.89
291,Everyone noticed the loneliness in that moment.,loneliness,2,0.93,0.95,0.94
293,Everyone noticed the frightened in that moment.,fear,1,0.92,0.95,0.935
294,It was a moment marked by expressed sadness.,sadness,1,0.98,0.95,0.965
295,It was a moment marked by furious.,anger,1,0.93,0.95,0.94
298,It was a moment marked by sadness.,sadness,1,0.95,0.95,0.95
299,A sudden feeling of sad filled their heart.,sadness,1,0.95,0.95,0.95
302,A sudden feeling of expressed regret filled their heart.,regret,2,0.95,0.95,0.95
304,It was a moment marked by inner peace.,inner_peace,3,0.95,0.98,0.965
307,It reflected a genuine feeling of grief.,sadness,1,0.92,0.95,0.935
308,It was a moment marked by expressed joy.,joy,1,0.95,0.95,0.95
309,That experience left them with lasting inner peace.,inner_peace,3,0.93,0.95,0.94
310,You could sense the lonely in their voice.,loneliness,2,0.92,0.95,0.935
312,There was a clear sense of expressed sadness throughout the day.,sadness,1,0.95,0.95,0.95
313,They experienced felt regret in a quiet moment.,regret,2,0.92,0.95,0.935
315,It was a moment marked by calmness.,inner_peace,3,0.92,0.95,0.935
316,It was a moment marked by inner peace.,inner_peace,3,0.92,0.95,0.935
317,That experience left them with lasting grateful.,gratitude,3,0.92,0.85,0.885
320,You could sense the hopeful in their voice.,hope,2,0.92,0.95,0.935
321,It was a moment marked by social isolation.,loneliness,2,0.92,0.95,0.935
323,Everyone noticed the calmness in that moment.,inner_peace,3,0.92,0.95,0.935
324,Everyone noticed the delight in that moment.,joy,1,0.92,0.95,0.935
326,They experienced furious in a quiet moment.,anger,1,0.92,0.85,0.885
331,They experienced expressed gratitude in a quiet moment.,gratitude,3,0.95,0.95,0.95
333,It reflected a genuine feeling of remorse.,regret,2,0.92,0.95,0.935
336,It reflected a genuine feeling of expressed regret.,regret,2,0.95,0.95,0.95
338,That experience left them with lasting joy.,joy,1,0.95,0.95,0.95
340,The situation brought out deep lonely.,loneliness,2,0.92,0.95,0.935
341,It reflected a genuine feeling of remorse.,regret,2,0.92,0.95,0.935
344,They experienced terrified in a quiet moment.,fear,1,0.95,0.95,0.95
345,That experience left them with lasting joy.,joy,1,0.95,0.95,0.95
346,There was a clear sense of felt sympathy throughout the day.,empathy,2,0.95,0.95,0.95
347,The situation brought out deep mourning.,sadness,1,0.95,0.95,0.95
348,It reflected a genuine feeling of expressed gratitude.,gratitude,3,0.95,0.95,0.95
349,The situation brought out deep thankful.,gratitude,3,0.93,0.95,0.94
350,It reflected a genuine feeling of panic.,fear,1,0.93,0.95,0.94
353,A sudden feeling of expressed regret filled their heart.,regret,2,0.92,0.95,0.935
354,They experienced felt regret in a quiet moment.,regret,2,0.98,0.95,0.965
355,It was a moment marked by expressed anger.,anger,1,0.95,0.95,0.95
356,That experience left them with lasting isolation.,loneliness,2,0.92,0.95,0.935
357,It reflected a genuine feeling of expressed joy.,joy,1,0.98,0.95,0.965
358,Everyone noticed the outrage in that moment.,anger,1,0.92,0.85,0.885
363,They experienced frightened in a quiet moment.,fear,1,0.92,0.95,0.935
364,They experienced felt regret in a quiet moment.,regret,2,0.92,0.95,0.935
368,That experience left them with lasting wonder.,awe,3,0.92,0.95,0.935
369,They experienced expressed anger in a quiet moment.,anger,1,0.92,0.95,0.935
370,That experience left them with lasting sense of awe.,awe,3,0.97,0.95,0.96
371,It was a moment marked by celebration.,joy,1,0.92,0.95,0.935
372,There was a clear sense of felt sympathy throughout the day.,empathy,2,0.93,0.95,0.94
373,It reflected a genuine feeling of expressed sadness.,sadness,1,0.95,0.95,0.95
374,Everyone noticed the public anger in that moment.,anger,1,0.95,0.95,0.95
376,It was a moment marked by expressed gratitude.,gratitude,3,0.92,0.95,0.935
378,It reflected a genuine feeling of afraid.,fear,1,0.95,0.95,0.95
379,A sudden feeling of joy filled their heart.,joy,1,0.95,0.95,0.95
380,There was a clear sense of hopeful throughout the day.,hope,2,0.92,0.95,0.935
381,A sudden feeling of fear filled their heart.,fear,1,0.93,0.95,0.94
383,They experienced remorse in a quiet moment.,regret,2,0.92,0.95,0.935
387,They experienced sense of awe in a quiet moment.,awe,3,0.95,0.95,0.95
389,A sudden feeling of hope filled their heart.,hope,2,0.95,0.95,0.95
391,You could sense the expressed hope in their voice.,hope,2,0.92,0.95,0.935
394,A sudden feeling of awe filled their heart.,awe,3,0.95,0.95,0.95
395,A sudden feeling of sign of hope filled their heart.,hope,2,0.92,0.95,0.935
397,You could sense the joy in their voice.,joy,1,0.92,0.95,0.935
398,They experienced anger in a quiet moment.,anger,1,0.92,0.95,0.935
401,It was a moment marked by heartbroken.,sadness,1,0.95,0.95,0.95
402,The situation brought out deep expressed gratitude.,gratitude,3,0.95,0.95,0.95
405,It was a moment marked by fear.,fear,1,0.95,0.95,0.95
407,It was a moment marked by grief.,sadness,1,0.9,0.95,0.925
409,It was a moment marked by angry.,anger,1,0.95,0.95,0.95
410,You could sense the panic in their voice.,fear,1,0.92,0.95,0.935
411,A sudden feeling of grief filled their heart.,sadness,1,0.95,0.95,0.95
414,The situation brought out deep peace of mind.,inner_peace,3,0.93,0.95,0.94
415,There was a clear sense of expressed hope throughout the day.,hope,2,0.92,0.95,0.935
416,It reflected a genuine feeling of awe.,awe,3,0.98,1.0,0.99
419,The situation brought out deep loneliness.,loneliness,2,0.92,0.95,0.935
420,They experienced peace of mind in a quiet moment.,inner_peace,3,0.92,0.95,0.935
421,A sudden feeling of wonder filled their heart.,awe,3,0.92,0.95,0.935
422,It reflected a genuine feeling of grateful.,gratitude,3,0.93,0.95,0.94
423,The situation brought out deep mourning.,sadness,1,0.93,0.95,0.94
425,There was a clear sense of expressed sadness throughout the day.,sadness,1,0.95,0.95,0.95
426,That experience left them with lasting gratitude.,gratitude,3,0.92,0.95,0.935
427,They experienced connectedness in a quiet moment.,inner_peace,3,0.85,0.95,0.8999999999999999
429,There was a clear sense of furious throughout the day.,anger,1,0.92,0.95,0.935
430,The situation brought out deep happy.,joy,1,0.95,0.85,0.8999999999999999
432,There was a clear sense of sense of awe throughout the day.,awe,3,0.93,0.95,0.94
433,You could sense the sign of hope in their voice.,hope,2,0.92,0.95,0.935
435,It was a moment marked by delight.,joy,1,0.92,0.95,0.935
436,They experienced celebration in a quiet moment.,joy,1,0.95,0.95,0.95
437,Everyone noticed the calmness in that moment.,inner_peace,3,0.92,0.95,0.935
438,It was a moment marked by acceptance.,inner_peace,3,0.92,0.95,0.935
440,It reflected a genuine feeling of inner peace.,inner_peace,3,0.92,0.98,0.95
441,There was a clear sense of social isolation throughout the day.,loneliness,2,0.83,0.95,0.8899999999999999
443,You could sense the social isolation in their voice.,loneliness,2,0.83,0.95,0.8899999999999999
444,A sudden feeling of terrified filled their heart.,fear,1,0.95,0.95,0.95
445,That experience left them with lasting inner peace.,inner_peace,3,0.92,0.95,0.935
446,You could sense the expressed sadness in their voice.,sadness,1,0.98,0.95,0.965
448,You could sense the loneliness in their voice.,loneliness,2,0.92,0.95,0.935
449,Everyone noticed the sad in that moment.,sadness,1,0.92,0.95,0.935
451,You could sense the hope in their voice.,hope,2,0.92,0.95,0.935
452,It reflected a genuine feeling of celebration.,joy,1,0.92,0.95,0.935
456,The situation brought out deep social isolation.,loneliness,2,0.92,0.95,0.935
457,That experience left them with lasting expressed fear.,fear,1,0.95,0.95,0.95
459,That experience left them with lasting remorse.,regret,2,0.95,0.95,0.95
460,It reflected a genuine feeling of afraid.,fear,1,0.95,0.95,0.95
461,It was a moment marked by celebration.,joy,1,0.93,0.95,0.94
462,It was a moment marked by gratitude.,gratitude,3,0.95,0.95,0.95
463,A sudden feeling of deeply moved filled their heart.,awe,3,0.92,0.95,0.935
464,You could sense the celebration in their voice.,joy,1,0.92,0.85,0.885
468,You could sense the felt regret in their voice.,regret,2,0.92,0.95,0.935
470,That experience left them with lasting understanding others.,empathy,2,0.83,0.95,0.8899999999999999
472,They experienced hopeful in a quiet moment.,hope,2,0.92,0.95,0.935
475,It was a moment marked by sign of hope.,hope,2,0.92,0.95,0.935
476,Everyone noticed the sympathy in that moment.,empathy,2,0.92,0.95,0.935
477,The situation brought out deep panic.,fear,1,0.92,0.95,0.935
478,The situation brought out deep sadness.,sadness,1,0.95,0.95,0.95
480,Everyone noticed the mourning in that moment.,sadness,1,0.93,0.85,0.89
481,It reflected a genuine feeling of happy.,joy,1,0.95,0.95,0.95
483,It reflected a genuine feeling of expressed hope.,hope,2,0.95,0.95,0.95
485,You could sense the lonely in their voice.,loneliness,2,0.93,0.95,0.94
486,The situation brought out deep lonely.,loneliness,2,0.95,0.95,0.95
487,It was a moment marked by compassion.,compassion,3,0.93,0.95,0.94
488,That experience left them with lasting empathy.,empathy,2,0.92,0.95,0.935
489,They experienced peace of mind in a quiet moment.,inner_peace,3,0.93,0.95,0.94
492,Everyone noticed the connectedness in that moment.,empathy,2,0.92,0.85,0.885
493,Everyone noticed the lonely in that moment.,loneliness,2,0.92,0.95,0.935
494,There was a clear sense of mourning throughout the day.,sadness,1,0.93,0.95,0.94
495,You could sense the wonder in their voice.,awe,3,0.92,0.95,0.935
496,A sudden feeling of heartbroken filled their heart.,sadness,1,0.92,0.95,0.935
498,That experience left them with lasting furious.,anger,1,0.92,0.95,0.935
499,They experienced frightened in a quiet moment.,fear,1,0.95,0.95,0.95
500,They experienced expressed hope in a quiet moment.,hope,2,0.93,0.95,0.94
501,The situation brought out deep inner peace.,inner_peace,3,0.93,0.95,0.94
502,It was a moment marked by wonder.,awe,3,0.92,0.95,0.935
504,It reflected a genuine feeling of mourning.,sadness,1,0.92,0.95,0.935
505,A sudden feeling of expressed sadness filled their heart.,sadness,1,0.95,0.95,0.95
506,There was a clear sense of lonely throughout the day.,loneliness,2,0.92,0.95,0.935
507,It reflected a genuine feeling of gratitude.,gratitude,3,0.98,0.95,0.965
509,Everyone noticed the sense of awe in that moment.,awe,3,0.93,0.95,0.94
510,That experience left them with lasting gratitude.,gratitude,3,0.92,0.95,0.935
511,It was a moment marked by fear.,fear,1,0.98,0.95,0.965
512,It reflected a genuine feeling of hopeful.,hope,2,0.92,0.95,0.935
513,That experience left them with lasting hopeful.,hope,2,0.92,0.95,0.935
514,It reflected a genuine feeling of sad.,sadness,1,0.95,0.95,0.95
516,You could sense the compassion in their voice.,compassion,3,0.92,0.95,0.935
518,That experience left them with lasting hopeful.,hope,2,0.95,0.95,0.95
519,They experienced felt regret in a quiet moment.,regret,2,0.92,0.95,0.935
520,A sudden feeling of isolation filled their heart.,loneliness,2,0.92,0.95,0.935
521,A sudden feeling of isolation filled their heart.,loneliness,2,0.95,0.95,0.95
523,You could sense the thankful in their voice.,gratitude,3,0.92,0.95,0.935
527,That experience left them with lasting felt regret.,regret,2,0.93,0.95,0.94
528,It reflected a genuine feeling of celebration.,joy,1,0.92,0.95,0.935
529,That experience left them with lasting sympathy.,empathy,2,0.92,0.95,0.935
530,The situation brought out deep empathy.,empathy,2,0.95,0.95,0.95
531,A sudden feeling of happiness filled their heart.,joy,1,0.95,0.95,0.95
532,That experience left them with lasting happy.,joy,1,0.92,0.95,0.935
533,There was a clear sense of empathy throughout the day.,empathy,2,0.93,0.95,0.94
534,It reflected a genuine feeling of peace of mind.,inner_peace,3,0.92,0.95,0.935
535,Everyone noticed the grateful in that moment.,gratitude,3,0.92,0.95,0.935
536,There was a clear sense of heartbroken throughout the day.,sadness,1,0.92,0.95,0.935
537,There was a clear sense of regret throughout the day.,regret,2,0.98,0.95,0.965
539,That experience left them with lasting calmness.,inner_peace,3,0.83,0.95,0.8899999999999999
540,The situation brought out deep sadness.,sadness,1,0.95,0.95,0.95
542,They experienced public anger in a quiet moment.,anger,1,0.92,0.95,0.935
545,They experienced loneliness in a quiet moment.,loneliness,2,0.93,0.95,0.94
546,It was a moment marked by acceptance.,inner_peace,3,0.92,0.95,0.935
547,It reflected a genuine feeling of hope.,hope,2,0.95,0.95,0.95
549,Everyone noticed the grateful in that moment.,gratitude,3,0.92,0.95,0.935
551,That experience left them with lasting wonder.,awe,3,0.93,0.95,0.94
553,There was a clear sense of terrified throughout the day.,fear,1,0.92,0.95,0.935
554,A sudden feeling of heartbroken filled their heart.,sadness,1,0.92,0.95,0.935
557,You could sense the social isolation in their voice.,loneliness,2,0.92,0.95,0.935
558,There was a clear sense of anger throughout the day.,anger,1,0.95,0.95,0.95
559,That experience left them with lasting grateful.,gratitude,3,0.93,0.95,0.94
560,That experience left them with lasting expressed gratitude.,gratitude,3,0.98,0.95,0.965
561,You could sense the social isolation in their voice.,loneliness,2,0.92,0.85,0.885
562,They experienced isolation in a quiet moment.,loneliness,2,0.83,0.95,0.8899999999999999
563,There was a clear sense of outrage throughout the day.,anger,1,0.83,0.95,0.8899999999999999
564,Everyone noticed the happy in that moment.,joy,1,0.92,0.95,0.935
566,There was a clear sense of furious throughout the day.,anger,1,0.95,0.95,0.95
567,The situation brought out deep outrage.,anger,1,0.92,0.95,0.935
569,There was a clear sense of expressed anger throughout the day.,anger,1,0.95,0.95,0.95
570,It reflected a genuine feeling of compassionate.,compassion,3,0.95,0.95,0.95
571,It reflected a genuine feeling of isolation.,loneliness,2,0.92,0.95,0.935
572,There was a clear sense of inner peace throughout the day.,inner_peace,3,0.93,0.95,0.94
576,A sudden feeling of deeply moved filled their heart.,awe,3,0.92,0.95,0.935
577,They experienced compassionate in a quiet moment.,compassion,3,0.92,1.0,0.96
578,That experience left them with lasting gratitude.,gratitude,3,0.92,0.95,0.935
583,There was a clear sense of frightened throughout the day.,fear,1,0.93,0.95,0.94
584,A sudden feeling of expressed hope filled their heart.,hope,2,0.92,0.95,0.935
586,A sudden feeling of regret filled their heart.,regret,2,0.98,0.95,0.965
587,The situation brought out deep lonely.,loneliness,2,0.92,0.95,0.935
588,It was a moment marked by expressed sadness.,sadness,1,0.95,0.95,0.95
593,It reflected a genuine feeling of anger.,anger,1,0.95,0.95,0.95
594,They experienced mourning in a quiet moment.,sadness,1,0.92,0.95,0.935
595,The situation brought out deep angry.,anger,1,0.95,0.95,0.95
596,The situation brought out deep regret.,regret,2,0.95,0.95,0.95
597,It reflected a genuine feeling of wonder.,awe,3,0.83,0.95,0.8899999999999999
